GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gestão Financeira,com.franco.gestao_financeira.domain.service,FriendShipService,17,98,1,7,2,21,4,6,3,3
Gestão Financeira,com.franco.gestao_financeira,GestaoFinanceiraApplication,5,3,0,0,2,1,1,1,1,1
Gestão Financeira,com.franco.gestao_financeira.domain.exception,BusinessRuleException,0,4,0,0,0,2,0,1,0,1
Gestão Financeira,com.franco.gestao_financeira.domain.model.Enums,TransactionType,0,15,0,0,0,3,0,1,0,1
Gestão Financeira,com.franco.gestao_financeira.domain.model.Enums,StatusFriendship,0,21,0,0,0,4,0,1,0,1
Gestão Financeira,com.franco.gestao_financeira.domain.model,Reserve,91,8,14,0,32,2,19,1,12,1
Gestão Financeira,com.franco.gestao_financeira.domain.model,BaseCategory,91,7,14,0,32,3,19,1,12,1
Gestão Financeira,com.franco.gestao_financeira.domain.model,MonthlyCategory,91,9,14,0,32,3,19,1,12,1
Gestão Financeira,com.franco.gestao_financeira.domain.model,Friendship,63,34,14,0,20,15,11,9,4,9
Gestão Financeira,com.franco.gestao_financeira.domain.model,User,77,43,13,1,27,16,15,6,8,6
Gestão Financeira,com.franco.gestao_financeira.domain.model,Transaction,306,6,66,0,80,3,51,1,18,1
